"Sr. No.","State Name","Hon'ble Member Of Parliament","Constituency","Allocated Amount ( ₹ )"
"283","Haryana","MANOHAR LAL","KARNAL","9,80,00,000"
"284","Bihar","MANOJ KUMAR","SASARAM(SC)","9,80,00,000"
"285","West Bengal","MANOJ TIGGA","ALIPURDUARS(ST)","9,80,00,000"
"286","Delhi","Manoj Tiwari","NORTH EAST DELHI","10,33,43,858"
"287","Gujarat","Mansukhbhai Dhanjibhai Vasava","BHARUCH","9,80,00,000"
"288","Jammu And Kashmir","MIAN ALTAF AHMAD","ANANTNAG","9,80,00,000"
"289","Andhra Pradesh","Midhun Reddy","RAJAMPET","12,99,51,477.11"
"290","Bihar","MISHA BHARTI","PATALIPUTRA","9,80,00,000"
"291","Gujarat","Mitesh Rameshbhai Bakabhai Patel","ANAND","9,80,00,000"
"292","Ladakh","Mohamed Haneefa","LADAKH","11,21,14,542"
"293","Uttar Pradesh","MOHIBBULLAH","RAMPUR","9,80,00,000"
"294","Maharashtra","MOHITE PATIL DHAIRYASHEEL RAJSINH","MADHA","14,66,13,601.7"
"295","Bihar","Mr Gopal Jee Thakur","DARBHANGA","9,80,00,000"
"296","West Bengal","Ms Mahua Moitra","KRISHNANAGAR","11,08,65,046"
"297","Lakshadweep","MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP(ST)","9,80,00,000"
"298","Uttar Pradesh","Mukesh Rajput","FARRUKHABAD","9,80,00,000"
"299","Gujarat","MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","9,80,00,000"
"300","Rajasthan","MURARI LAL MEENA","DAUSA(ST)","9,80,00,000"
"301","Tamil Nadu","MURASOLI S","THANJAVUR","9,80,00,000"
"302","Maharashtra","MURLIDHAR MOHOL","PUNE","9,80,00,000"
"303","Odisha","NABA CHARAN MAJHI","MAYURBHANJ (ST)","9,85,63,957.11"
"304","Jharkhand","NALIN SOREN","DUMKA(ST)","9,83,64,097.11"
"305","Uttar Pradesh","NARAYAN DAS AHIRWAR","JALAUN(SC)","9,80,00,000"
"306","Maharashtra","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","9,80,00,000"
"307","Uttar Pradesh","NARESH CHANDRA UTTAM PATEL","FATEHPUR","9,80,00,000"
"308","Maharashtra","NARESH GANPAT MHASKE","THANE","9,80,00,000"
"309","Haryana","NAVEEN JINDAL","KURUKSHETRA","9,80,00,000"
"310","Uttar Pradesh","NEERAJ MAURYA","AONLA","9,80,00,000"
"311","Maharashtra","NILESH DNYANDEV LANKE","AHMEDNAGAR","9,80,00,000"
"312","Gujarat","NIMUBEN JAYANTIBHAI BAMBHANIYA","BHAVNAGAR","9,80,00,000"
"313","Jharkhand","Nishikant Dubey","GODDA","9,80,00,000"
"314","Maharashtra","Nitin Jairam Gadkari","NAGPUR","9,80,00,000"
"315","Bihar","Nityanand Rai","UJJARPUR","9,80,00,000"
"316","Rajasthan","Om Birla","KOTA","9,80,00,000"
"317","Maharashtra","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","9,80,00,000"
"318","Karnataka","P C Mohan","BANGALORE CENTRAL","9,80,00,000"
"319","Uttar Pradesh","Pankaj Chowdhary","MAHARAJGANJ_UP","9,80,00,000"
"320","Assam","PARIMAL SUKLABAIDYA","SILCHAR","9,93,00,157.11"
"321","Gujarat","PARSHOTTAMBHAI RUPALA","RAJKOT","9,80,00,000"
"322","West Bengal","PARTHA BHOWMICK","BARRACKPUR","9,80,00,000"
"323","Karnataka","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","9,80,00,000"
