"Sr. No.","State Name","Hon'ble Member Of Parliament","Constituency","Allocated Amount ( ₹ )"
"505","Telangana","SURESH KUMAR SHETKAR","ZAHIRABAD","9,80,00,000"
"506","Uttar Pradesh","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","9,80,00,000"
"507","Tamil Nadu","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","9,80,00,000"
"508","Andhra Pradesh","TANGELLA UDAY SRINIVAS","KAKINADA","9,80,00,000"
"509","Uttar Pradesh","TANUJ PUNIA","BARABANKI(SC)","9,91,98,170.11"
"510","Bihar","TARIQ ANWAR","KATIHAR","9,80,00,000"
"511","Tamil Nadu","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","14,79,05,535.11"
"512","Tamil Nadu","THANGA TAMILSELVAN","THENI","9,80,00,000"
"513","Tamil Nadu","THARANIVENTHAN M S","ARANI","11,93,37,124.35"
"514","Tamil Nadu","Thiru Dayanidhi Maran","CHENNAI CENTRAL","9,80,00,000"
"515","Tamil Nadu","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","9,80,00,000"
"516","Chhattisgarh","TOKHAN SAHU","BILASPUR","9,80,00,000"
"517","Uttarakhand","TRIVENDRA SINGH RAWAT","HARDWAR","9,80,00,000"
"518","Uttar Pradesh","UJJWAL RAMAN SINGH","ALLAHABAD","9,80,00,000"
"519","Rajasthan","UMMEDA RAM BENIWAL","BARMER","9,80,00,000"
"520","Uttar Pradesh","UTKARSH VERMA MADHUR","KHERI","9,80,00,000"
"521","Tamil Nadu","V S Matheswaran","NAMAKKAL","11,35,39,930.11"
"522","Karnataka","V. SOMANNA","TUMKUR","9,80,00,000"
"523","Puducherry","Vaithilingam Ve","Puducherry","16,03,68,972.11"
"524","Telangana","VAMSI KRISHNA GADDAM","PEDDAPALLE","9,80,00,000"
"525","Haryana","VARUN CHAUDHRY","AMBALA (SC)","9,80,00,000"
"526","Kerala","Vellalath Kochukrishnan Nair Sreekandan","PALAKKAD","9,80,00,000"
"527","Chhattisgarh","Vijay Baghel","DURG","9,80,00,000"
"528","Uttar Pradesh","Vijay Kumar Dubey","KUSHI NAGAR","9,99,00,000"
"529","Jharkhand","Vijay Kumar Hansdak","RAJMAHAL(ST)","9,82,23,957.11"
"530","Bihar","VIJAYLAKSHMI DEVI","SIWAN","9,80,00,000"
"531","Gujarat","Vinod Chavda","KACHCHH(SC)","9,80,00,000"
"532","Uttar Pradesh","VINOD KUMAR BIND","BHADOHI","9,80,00,000"
"533","Madhya Pradesh","Virendra Kumar","TIKAMGARH(SC)","9,80,00,000"
"534","Uttar Pradesh","VIRENDRA SINGH","CHANDAULI","9,80,00,000"
"535","Maharashtra","VISHAL","SANGLI","9,80,00,000"
"536","Jharkhand","Vishnu Dayal Ram","PALAMU(SC)","10,91,76,083.11"
"537","Madhya Pradesh","Vishnu Dutt Sharma","KHAJURAHO","9,80,00,000"
"538","Karnataka","VISHWESHWAR HEGDE KAGERI","UTTARA KANNADA","9,80,00,000"
"539","Bihar","VIVEK THAKUR","NAWADA","9,80,00,000"
"540","Andhra Pradesh","Y S Avinash Reddy","KADAPA","9,80,00,000"
"541","Karnataka","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","9,80,00,000"
"542","Delhi","Yogendra Chandoliya","NORTH WEST DELHI(SC)","9,88,76,307"
"543","Uttar Pradesh","ZIA UR REHMAN","SAMBHAL","9,80,00,000"
"Grand Total"," "," "," ","55,49,53,68,754.41"
