"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","23-Apr-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135904","6,42,457"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","11-Sep-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135904","2,18,870"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","23-Apr-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135907","6,42,457"
"4","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","11-Sep-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135907","2,13,609"
"5","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","23-Apr-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135918","5,77,622"
"6","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","11-Sep-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135918","1,90,835"
"7","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Balram Maurya Construction and supplier","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","23-Apr-2025","AMBEDKAR NAGAR","Payment Success","WS/MP18199/2024-2025/135903","6,71,927"
"8","Madhya Pradesh","Purchase Books for Library","ESSKAY ENTERPRISES DELHI","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","18-Jul-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135908","1,00,000"
"9","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/135996","3,11,640"
"10","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","16-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135996","53,948"
"11","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136004","3,11,640"
"12","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/136004","53,948"
"13","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136008","3,11,640"
"14","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/136008","53,948"
"15","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136017","1,33,383"
"16","West Bengal","Construction of footpaths and pedestrian ways","NORDEN LEPCHA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","10-Nov-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135526","2,90,291"
"17","West Bengal","Construction of footpaths and pedestrian ways","DHAN KUMAR LAMA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","29-Jul-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135535","4,93,330"
"18","West Bengal","Construction of community centers and community halls","NORBU DHENDUP BHUTIA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","31-Dec-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135553","4,72,866"
"19","Assam","Construction of community centers and community halls","James Phangcho","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","18-Jun-2025","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137588","7,68,084"
"20","West Bengal","Construction of footpaths and pedestrian ways","ABHINAY BHURTEL","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","11-Dec-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135708","4,82,145"
"21","West Bengal","Construction of boundary walls of existing public and community buildings","DILIP CHHETRI ACHARYA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","20-Jun-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135549","4,59,397"
"22","West Bengal","Development of playground","EDWIN LEPCHA","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","15-May-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135555","4,88,498"
"23","Assam","Tree plantation for community","Longsing Engti","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","11-Nov-2024","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137589","2,54,066"
"24","Assam","Construction of community centers and community halls","Sarmindar Terang","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","18-Jun-2025","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137588","3,04,341"
"25","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","09-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137152","14,84,088"
"26","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","26-Apr-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137152","4,93,971"
"27","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","TANYA CONSTRUCTION","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","11-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137211","7,14,064"
"28","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","TANYA CONSTRUCTION","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","15-Dec-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137211","2,37,604"
"29","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","10-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137197","12,01,637"
"30","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","26-Apr-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137197","4,00,155"
"31","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","10-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137206","9,66,456"
"32","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","25-Apr-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137206","3,21,523"
"33","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","SHARMA CONTRACTOR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","23-Apr-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136672","12,200"
"34","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","RAJVEER MEENA","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","03-May-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136672","8,450"
"35","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","NIRAJAN LAL","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","03-May-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136672","8,450"
"36","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","MAHESH CHAND","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","03-May-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136672","8,450"
"37","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","PINKEE MEENA","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","03-May-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136672","3,367"
"38","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","PHOOLVATI","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","03-May-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136672","3,367"
"39","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","CHANDA BAI MEENA","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","03-May-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136672","2,072"
"40","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","SHARMA CONTRACTOR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","17-May-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136672","3,44,591"
"41","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","SHARMA CONTRACTOR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","16-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136229","7,52,478"
"42","West Bengal","Street lights","Soumita Enterprise","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","22-Sep-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135583","4,11,946"
"43","West Bengal","Street lights","Soumita Enterprise","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","26-Aug-2025","DARJEELING","Payment Success","WS/MP826/2025-2026/135586","3,91,043"
"44","West Bengal","Street lights","Soumita Enterprise","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","02-Jul-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135687","4,11,948"
"45","West Bengal","Providing drains and gutters for public drainage","Shri Arjun Gurung","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","08-Aug-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135702","9,42,409"
"46","West Bengal","Construction of footpaths and pedestrian ways","Swastika Rai Sharma","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","22-Sep-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135707","4,61,795"
"47","Maharashtra","Construction of community centers and community halls","Mauli Vighnaharta Construction Company","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","01-Oct-2025","AMRAVATI(SC)","Payment Success","WS/MP18112/2024-2025/136532","3,37,606"
"48","Maharashtra","Construction of community centers and community halls","Navnit Sudhirrao Toley","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","15-Dec-2025","AMRAVATI(SC)","Payment Success","WS/MP18112/2024-2025/136532","11,62,390"
"49","West Bengal","Street lights","SUMAN PRADHAN","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","25-Nov-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135568","4,66,505"
"50","West Bengal","Street lights","POWER TOOLS AND ENGINEERING","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","27-Dec-2024","DARJEELING","Payment Success","WS/MP826/2024-2025/135576","4,61,979"
"51","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","23-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137052","4,00,000"
"52","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","03-Jun-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137065","4,00,000"
"53","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","24-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137066","4,00,000"
"54","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","03-Jun-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137068","4,00,000"
"55","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","03-Jun-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137071","4,00,000"
"56","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","23-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137076","4,00,000"
"57","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","05-Jan-2026","ELURU","Payment Success","WS/MP18007/2025-2026/137082","4,00,000"
"58","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","02-Jun-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137063","4,00,000"
"59","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","23-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137075","4,00,000"
"60","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","20-Mar-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135413","1,69,866"
"61","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","05-Dec-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135413","66,368"
"62","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","21-Mar-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135436","1,69,866"
"63","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","06-Dec-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135436","66,368"
"64","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","18-Oct-2025","KUSHI NAGAR","Payment Success","WS/MP812/2025-2026/135446","1,75,821"
"65","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","26-Feb-2026","KUSHI NAGAR","Payment Success","WS/MP812/2025-2026/135446","60,494"
"66","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","21-Mar-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135449","1,69,866"
"67","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","08-Dec-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135449","66,368"
"68","Kerala","Lighting of public spaces","M S Communication","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","19-Dec-2025","PATHANAMTHITTA","Payment Success","WS/MP632/2024-2025/134102","2,16,033"
"69","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","10-Mar-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/136017","57,163"
"70","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136026","1,33,383"
"71","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","10-Mar-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/136026","57,163"
"72","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136028","1,33,383"
"73","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","10-Mar-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/136028","57,163"
"74","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136032","1,33,383"
"75","Madhya Pradesh","Purchase of mobile water tankers","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","10-Mar-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/136032","57,163"
"76","Madhya Pradesh","Purchase Books for Library","ESSKAY ENTERPRISES DELHI","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","18-Jul-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135912","1,00,000"
"77","West Bengal","Construction of common work sheds/ common covered sitting area","J B S Construction","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","22-Apr-2025","JOYNAGAR(SC)","Payment Success","WS/MP485/2024-2025/134329","4,99,673"
"78","West Bengal","Construction of community centers and community halls","R S Construction","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","27-Feb-2025","JOYNAGAR(SC)","Payment Success","WS/MP485/2024-2025/134332","19,98,845"
"79","West Bengal","Street lights","SOUTH ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","21-Mar-2025","JOYNAGAR(SC)","Payment Success","WS/MP485/2024-2025/134781","2,27,446"
"80","West Bengal","Street lights","S LASKAR ASMA ENTERPRISE","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","22-May-2025","JOYNAGAR(SC)","Payment Success","WS/MP485/2024-2025/134829","2,27,446"
"81","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135004","5,56,369"
"82","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135163","5,56,365"
"83","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135171","5,56,365"
"84","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135172","5,56,365"
"85","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135180","5,56,365"
"86","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","19-Aug-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133694","3,00,000"
"87","Punjab","Installing community drinking water plants","SHREE BALAJI ENTERPRISES","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","19-Aug-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133701","84,500"
"88","Punjab","Installing community drinking water plants","SHREE BALAJI ENTERPRISES","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","19-Aug-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133703","84,500"
"89","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","JANPAD PANCHAYAT RAJPUR","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","03-Dec-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/133909","1,50,000"
"90","Madhya Pradesh","Construction of community centers and community halls","CEO PATI","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","21-Oct-2024","KHARGONE(ST)","Payment Success","WS/MP641/2024-2025/133911","3,00,000"
"91","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","19-Aug-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133688","3,00,000"
"92","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","12-Aug-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133690","3,00,000"
"93","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","11-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133692","82,533"
"94","Assam","Construction of community centers and community halls","James Phangcho","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","09-Dec-2025","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137588","2,67,444"
"95","Assam","Construction of community centers and community halls","Sarmindar Terang","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","11-Dec-2025","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137588","1,59,990"
"96","Assam","Installing tube-wells and borewells","Long Kather","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","06-Dec-2024","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137602","1,05,223"
"97","Assam","Installing tube-wells and borewells","Moina Terangpi","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","06-Dec-2024","Diphu (ST)","Payment Success","WS/MP18019/2024-2025/137602","94,337"
"98","Odisha","Purchase of hospital equipment","Sthitpragya enterprises Private Limited","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","16-Dec-2024","KALAHANDI","Payment Success","WS/MP18144/2024-2025/135752","5,00,000"
"99","Odisha","Purchase of hospital equipment","Sthitpragya enterprises Private Limited","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","16-Dec-2024","KALAHANDI","Payment Success","WS/MP18144/2024-2025/135755","4,99,500"
"100","Odisha","Purchase of hospital equipment","Sthitpragya enterprises Private Limited","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","16-Dec-2024","KALAHANDI","Payment Success","WS/MP18144/2024-2025/135750","5,00,000"
"101","Madhya Pradesh","Purchase Books for Library","PRATIBHA PRATISHTHAN","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","22-Apr-2025","MANDSOUR","Payment Success","WS/MP356/2024-2025/137822","1,00,000"
"102","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","TANYA CONSTRUCTION","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","11-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137212","15,03,873"
"103","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","TANYA CONSTRUCTION","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","25-Apr-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137212","5,00,275"
"104","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","10-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137198","3,34,104"
"105","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","04-Jun-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137198","1,11,388"
