"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"2309","Telangana","Providing drains and gutters for public drainage","BAI LINGANNA","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","20-Mar-2025","NIZAMABAD","Payment Success","WS/MP761/2024-2025/139062","4,40,865"
"2310","Punjab","Installing community drinking water plants","The Gill Sehkari Kirat te Ussari Sabha Ltd","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","19-Dec-2024","FIROZPUR","Payment Success","WS/MP18153/2024-2025/135255","2,32,062"
"2311","Punjab","Installing community drinking water plants","The Gill Sehkari Kirat te Ussari Sabha Ltd","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","08-Nov-2024","FIROZPUR","Payment Success","WS/MP18153/2024-2025/137287","1,98,300"
"2312","Punjab","Installing community drinking water plants","The Gill Sehkari Kirat te Ussari Sabha Ltd","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","19-Dec-2024","FIROZPUR","Payment Success","WS/MP18153/2024-2025/137287","34,702"
"2313","Punjab","Installing community drinking water plants","The Gill Sehkari Kirat te Ussari Sabha Ltd","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","28-Nov-2024","FIROZPUR","Payment Success","WS/MP18153/2024-2025/137288","1,88,005"
"2314","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Yashika Construction Co","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","08-Nov-2024","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/136654","7,38,798"
"2315","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","NISHU ENTERPRISES","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRAE GAUTAMBUDHNAGAR_IDA)","Mahesh Sharma","08-Nov-2024","GAUTAM BUDDHA NAGAR","Payment Success","WS/MP777/2024-2025/135877","7,38,739"
"2316","Punjab","Development of public parks","Goodwill Associates","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","24-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","47,408"
"2317","Punjab","Development of public parks","Goodwill Associates","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","28-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","47,408"
"2318","Punjab","Development of public parks","Goodwill Associates","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","28-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","5,189"
"2319","Punjab","Development of public parks","Ms Sanjeev Kumar BKO Vill Balagan","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","24-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","7,595"
"2320","Punjab","Development of public parks","Ms Balaji Brick Ind Dasuya","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","24-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","17,500"
"2321","Punjab","Development of public parks","Ms Balaji Brick Ind Dasuya","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","24-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","21,000"
"2322","Punjab","Development of public parks","Ms Balaji Brick Ind Dasuya","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","24-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","3,500"
"2323","Punjab","Development of public parks","Ms S and S Building Material LLP Dasuya","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","24-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","15,200"
"2324","Punjab","Development of public parks","Ms S and S Building Material LLP Dasuya","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","24-Jan-2025","HOSHIARPUR(SC)","Payment Success","WS/MP18155/2024-2025/141702","20,000"
"2325","West Bengal","Providing CCTV camera system for security of public areas","West Bengal Electronics Industry Development Corporation Ltd","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","02-Sep-2025","BARASAT","Payment Success","WS/MP243/2025-2026/141143","1,12,000"
"2326","West Bengal","Providing CCTV camera system for security of public areas","West Bengal Electronics Industry Development Corporation Ltd","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","02-Sep-2025","BARASAT","Payment Success","WS/MP243/2025-2026/141148","1,12,000"
"2327","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","PRESIDENT VILLAGE WORKS COMMITTEE ELLAPALLE","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","18-Nov-2024","CHITTOOR","Payment Success","WS/MP18006/2024-2025/141511","4,43,298"
"2328","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","Mr NARESH GANDHAMANENI","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","01-May-2025","CHITTOOR","Payment Success","WS/MP18006/2024-2025/136185","4,40,633"
"2329","Andhra Pradesh","Renovation of ponds and lakes","Mr REDDEPPA T","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","24-Dec-2024","CHITTOOR","Payment Success","WS/MP18006/2024-2025/136203","4,98,687"
"2330","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","KUMMARA BABU","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","20-Jan-2025","CHITTOOR","Payment Success","WS/MP18006/2024-2025/139521","47,627"
"2331","Andhra Pradesh","Construction of toilet blocks","K RAMESH NAIDU","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","24-Jan-2025","CHITTOOR","Payment Success","WS/MP18006/2024-2025/139526","2,50,000"
"2332","Madhya Pradesh","Purchase Books for Library","PRATIBHA PRATISHTHAN","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","22-Apr-2025","MANDSOUR","Payment Success","WS/MP356/2024-2025/137834","1,00,000"
