"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"20","Normal/Others","WS/MP826/2024-2025/136791-Construction of community centers and community halls","West Bengal","KALIMPONG(District Magistrate Kalimpong_IDA)","Construction of Community hall at Upper Lolay, Lolay GP Contact Person: Shila Rai Contact No:6297378441","Raju Bista","DARJEELING","19-Sep-2025","Images","N/A","4,62,224"
"21","Normal/Others","WS/MP18032/2024-2025/136942-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Kushwaha Tola, Garra","SUDHAKAR SINGH","BUXAR","15-Jan-2026","N/A","N/A","7,36,864"
"22","Normal/Others","WS/MP18032/2024-2025/136944-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","construction of community hall at gorar(Durgawati)","SUDHAKAR SINGH","BUXAR","08-Jan-2026","N/A","N/A","7,96,448"
"23","Repair and Renovation","WS/MP18032/2024-2025/136945-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Repair Of Community Hall at Pariari","SUDHAKAR SINGH","BUXAR","23-Aug-2025","N/A","N/A","2,72,034"
"24","Normal/Others","WS/MP18032/2024-2025/137001-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Construction of community hall at Narhan","SUDHAKAR SINGH","BUXAR","24-Feb-2026","N/A","N/A","7,11,037"
"25","Normal/Others","WS/MP18032/2024-2025/137003-Construction of community centers and community halls","Bihar","ROHTAS(District Planning Officer Rohtas_IDA)","Construction of community hall including toilet in campus of bhaluni","SUDHAKAR SINGH","BUXAR","13-Jan-2026","Images","N/A","14,88,054"
"26","Normal/Others","WS/MP18032/2024-2025/137006-Construction of community centers and community halls","Bihar","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","Construction of community building in campus of Disabled Rehabilitation Center","SUDHAKAR SINGH","BUXAR","10-Feb-2026","N/A","N/A","14,88,976"
"27","Repair and Renovation","WS/MP18032/2024-2025/137014-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Repair Of Community hall of Harijan Basti at Chaprang","SUDHAKAR SINGH","BUXAR","08-Jan-2026","N/A","N/A","3,68,347"
"28","Repair and Renovation","WS/MP18019/2024-2025/137596-Construction of community centers and community halls","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","Improvement of open stage at Govt. Boys Higher Secondary playground, Diphu","AMARSING TISSO","Diphu (ST)","12-Dec-2024","N/A","N/A","4,99,190"
"29","Normal/Others","WS/MP561/2024-2025/137685-Construction of community centers and community halls","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Construction work of the first floor of the pre-built community building near the school in Chipurakhurd in Sampatchak block under Fatua Legislative Assembly.","Ravi Shankar Prasad","PATNA SAHIB","23-Jun-2025","Images","N/A","14,85,921"
"30","Normal/Others","WS/MP561/2024-2025/137686-Construction of community centers and community halls","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Construction work of community hall near Bhagwati place in Kandap village of Sampatchak block under Fatua Legislative Assembly.","Ravi Shankar Prasad","PATNA SAHIB","20-Jun-2025","Images","N/A","13,26,673"
